Image Name,Disaster Type,Severity
 woman removes mold from the walls .jpg,mold,1
A damaged car after the storm.jpg,structural damage,1
A shower faucet handle spraying leaking water .jpg,leak,1
AUSTRALIA-WEATHER-FIRE 2.jpg,fire,2
AUSTRALIA-WEATHER-FIRE.jpg,fire,2
Abandoned house covered with plants.jpg,tree,1
"Aftermath of tornadoes in Bowling Green, Kentucky 2.jpg",tornado,2
"Aftermath of tornadoes in Bowling Green, Kentucky.jpg",tornado,2
Aftermath-Of-Los-Angeles-Wildfires-January-12.jpg,fire,2
An aerial view of cliff-top houses close to a landslide.jpg,landslide,1
Australia-weather-storm.jpg,storm,1
BRITAIN-CLIMATE-WEATHER-FLOOD.jpg,flood,2
Barvinkove Under Fire.jpg,fire,2
Bridge Fire Continues To Grow And Destroys Dozens Of Homes.jpg,fire,2
Broken canoe and boathouse.jpg,storm,1
Broken drywall on a interior ceiling.jpg,structural damage,0
Broken wood fence .jpg,structural damage,0
Burnt Houses of Irish Protestants.jpg,fire,2
CONGO-FLOOD.jpg,flood,2
CZU Lightning Complex Damage.jpg,structural damage,1
Car Crosses Flood Waters Flowing Over Rural Road .jpg,flood,2
Clear up Begins After Stalybridge Tornado .jpg,tornado,2
Clear up Begins After Stalybridge Tornado 1.jpg,tornado,2
Clear up Begins After Stalybridge Tornado 2.jpg,tornado,2
Clear up Begins After Stalybridge Tornado 3.jpg,tornado,2
Clear up Begins After Stalybridge Tornado.jpg,tornado,2
Closeup of a broken window pane.jpg,storm,1
Cyclone Marcia.jpg,tornado,2
Damaged wooden door France.jpg,structural damage,1
Damages After Strong Earthquake Hits Northwestern Japan.jpg,structural damage,1
Demolished patio after heavy storm and severe winds.jpg,storm,1
Demolition excavator and rubble of a demolished house.jpg,structural damage,2
Destroyed House after Earthquake in Italy.jpg,earthquake,2
Detail of texturized wall with cracks.jpg,structural damage,1
Deteriorated facade of housing.jpg,surface damage,0
Devastating fire and possible gas explosion in the Bronx 2.jpg,fire,2
Devastating fire and possible gas explosion in the Bronx 3.jpg,fire,2
Devastating fire and possible gas explosion in the Bronx.jpg,fire,2
Devastating wildfires in Greece .jpg,fire,2
Earthquake.jpg,earthquake,2
Ecatepec Residents Block Roads After Flooding.jpg,flood,2
Empty Property Fire.jpg,fire,2
Examining_Moldy_White_Wall.jpg,mold,1
Fallen Tree After a Storm .jpg,storm,1
Fallen_tree_on_top_of_grey_bungalow_house.jpg,tree,1
Fire_Line_Destoyed_Home.jpg,fire,2
Flood Disaster.jpg,flood,2
Flood Scenes.jpg,flood,2
Flood damage from high water basement damp mold.jpg,structural damage,1
Flooded shack homes.jpg,flood,2
Flooded_Basement.jpg,flood,2
Flooded_House_Following_a_Severe_Rainstorm.jpg,storm,1
Flooding Destroys Home .jpg,flood,2
Flooding In Kherson Caused By The Explosion Of The Kakhovka Dam.jpg,flood,2
Flooding In Madrid 3.jpg,flood,2
Flooding In Madrid 4.jpg,flood,2
Flooding In Madrid 5.jpg,flood,2
Flooding In Madrid.jpg,flood,2
Flooding In Madrid2.jpg,flood,2
Flooding In Nepal..jpg,flood,2
Flooding In Spain 2.jpg,flood,2
Flooding In Spain.jpg,flood,2
Flooding of the River Corve.jpg,flood,2
Flooding_from_a_hurricane.jpg,storm,1
Floods in Brandenburg.jpg,flood,2
Forest Fires In Algeria.jpg,fire,2
Forest fires.jpg,fire,2
Freak Storm Hits Townsville.jpg,storm,1
GERMANY-EUROPE-WEATHER-FLOODS.jpg,flood,2
GREECE-CLIMATE-WILDFIRE-AFTERMATH.jpg,fire,2
GREECE-ENVIRONMENT-CLIMATE-FIRE.jpg,fire,2
HURRICANE.jpg,storm,1
Heater pipes in an abandoned building.jpg,leak,1
"Heavy rains, flooding in Turkey.jpg",flood,2
Home damaged by tree.jpg,structural damage,1
Homes Being Demolished.jpg,surface damage,0
House Buried in Lava from Mount Etna Eruption.jpg,lava,2
House Demolition.jpg,structural damage,2
House destroyed by Hurricane Irma in Florida Keys.jpg,storm,1
House_Exterior_Flood_Disaster.jpg,flood,2
House_Fire_1.jpg,fire,2
Houses affected by flooding.jpg,flood,2
Houses are pictured flooded after a strong storm. .jpg,storm,1
Hurricane Ida Makes Landfall In Louisiana Leaving Devastation In Its Wake.jpg,storm,1
Hurricane_Katrina_Damage.jpg,structural damage,1
Hurricane_Sandy_Damage.jpg,structural damage,1
Hurricane_Winds_Knock_Down_An_Oak_Tree.jpg,storm,1
INDIA-WEATHER-FLOOD.jpg,flood,2
INDONESIA-DISASTER-LANDSLIDE.jpg,landslide,1
In Flames During Heatwave.jpg,fire,2
JAPAN-EARTHQUAKE.jpg,earthquake,2
JAPAN-QUAKE 2.jpg,earthquake,2
JAPAN-QUAKE 3.jpg,earthquake,2
JAPAN-QUAKE 4.jpg,earthquake,2
JAPAN-QUAKE.jpg,earthquake,2
KENYA-EXPLOSION-FIRE.jpg,fire,2
"Lake Fire In Southern California Grows Rapidly, Forcing Evacuations And Threatening Structures.jpg",fire,2
Landslide damages home amid heavy rains.jpg,structural damage,1
Leaking_Roof.jpg,leak,1
Leaking_ceiling.jpg,leak,1
Leaky roof with pieces of temporary tarp.jpg,leak,1
"Los Angeles Firee team, ashes of burned houses.jpg",fire,2
MOROCCO-QUAKE 2.jpg,earthquake,2
MOROCCO-QUAKE.jpg,earthquake,2
Major wildfire continues to rage in Greece's Attica region.jpg,fire,2
Man_Doing_Home_Improvement_and_Demolition.jpg,structural damage,1
Massive Los Angeles Fires Rage On .jpg,fire,2
Massive freight train hit by tornado in Kentucky.jpg,tornado,2
"Maui Wildfires - Kula, HI.jpg",fire,2
Modern_kitchen_in_a_smoke_from_the_oven.jpg,fire,2
Mold_Mould_Stains_on_Damp_Wall_and_Door_behind_Cabinet.jpg,mold,1
Mouldy and water damaged wall.jpg,structural damage,1
NICARAGUA-WEATHER-HURRICANE.jpg,storm,1
Narrow tunnel in an abandoned building.jpg,mold,1
New York - Aftermath of Hurricane Sandy .jpg,storm,1
New York - Aftermath of Hurricane Sandy 2.jpg,storm,1
Night_fire.jpg,fire,2
Old Rusty Kitchen in Abandoned House.jpg,mold,1
Old abandoned house.jpg,abandoned,2
Overflowing creek concept after flood..jpg,flood,2
Pacific Palisades homes after wildfire in Los Angeles.jpg,fire,2
Paint blister and water staining damage on the eaves of a house caused by heavy rain.jpg,structural damage,1
Peeling wallpaper on a white colored wall.jpg,surface damage,0
Pond_in_living_room.jpg,flood,1
Rapidly-Spreading Wildfire In California.jpg,fire,2
Recurring Floods In South Sudan Displace Refugees And Host Communities.jpg,flood,2
Roof_Leaking.jpg,leak,1
Roof_Repair.jpg,surface damage,0
Sand covered door of an abandoned and dilapidated house by the sea.jpg,sand,1
Santry Stadium Explosion.jpg,fire,2
"Sarasota, Florida Residents Begin Cleanup After Flood Water Recedes.jpg",flood,2
Severe Flooding Causes Houses Collapse In Liuzhou.jpg,structural damage,1
Severe Storm Continues To Lash New South Wales 2.jpg,storm,1
Severe Storm Continues To Lash New South Wales 3.jpg,storm,1
Severe Storm Continues To Lash New South Wales 4.jpg,storm,1
Severe Storm Continues To Lash New South Wales.jpg,storm,1
Storm Helene Causes Massive Flooding 2.jpg,storm,1
Storm Helene Causes Massive Flooding Across Swath Of Western North Carolina.jpg,storm,1
Storm Helene Causes Massive Flooding.jpg,storm,1
Strong storms in Greece.jpg,storm,1
Termite Damage in wall.jpg,structural damage,1
Termites damage around door frame.jpg,structural damage,1
Termites on wood.jpg,surface damage,0
The Aftermath Of Typhoon Vamco.jpg,storm,1
"The Getty Fire burns in Los Angeles, California.jpg",fire,2
"The Tick Fire Burns In Canyon Country, California 2.jpg",fire,2
"The Tick Fire Burns In Canyon Country, California.jpg",fire,2
Thousands Dead After Earthquake Hits 2.jpg,earthquake,2
Thousands Dead After Earthquake Hits.jpg,earthquake,2
Tornado_Damage.jpg,structural damage,1
Tornado_battered_home_severely_damaged.jpg,structural damage,1
Torrential Rain And Flooding 2.jpg,flood,2
Torrential Rain And Flooding..jpg,flood,2
